"location_value","age_value","flesch_reading","flesch_kincaid","coleman_liau","typos_to_words","percent_difficult_words","google_search_similarity","fake"
"0","-0.38","81.22","5.8","8.23","0.017316017316017316","0.1341991341991342","0.023813204656271188","1"
"0","-0.38","68.4","8.6","11.55","0.02304147465437788","0.2119815668202765","0.02364742098324459","1"
"0","-0.38","66.07","9.5","10.73","0.00909090909090909","0.24545454545454545","0.5747828012865648","1"
"0","-0.38","70.94","7.6","9.86","0.013452914798206279","0.21076233183856502","0.3147192649862077","1"
"0","-0.38","74.42","8.4","9.63","0.03167420814479638","0.19004524886877827","0.02497590301997576","1"
"0","-0.38","68.81","8.5","10.21","0.018292682926829267","0.1951219512195122","0.056970969385777816","1"
"0","-0.38","77.57","7.2","10.91","0.03070175438596491","0.19736842105263158","0.3954348357994194","1"
"0","-3.053","41.36","10.7","31.36","0.07692307692307693","0.6153846153846154","0.05561094401006779","1"
"0","0.543","41.9","12.6","15.37","0.03711790393013101","0.27729257641921395","0.7141512998650993","1"
"0","0.061","60.95","9.4","12.59","0.027777777777777776","0.2329059829059829","0.5562433743108735","1"
"0.65","0.344","52.33","12.7","10.22","0.05521472392638037","0.2085889570552147","0.03667168458718519","1"
"0","-5.915","-153.84","38.1","112.69","0.06134969325153374","0.15950920245398773","0.13941432669719928","1"
"0","-5.915","-153.84","38.1","112.69","0.06134969325153374","0.15950920245398773","0.13941432669719928","1"
"0","-5.915","60.85","9.4","12.82","0.023333333333333334","0.22666666666666666","0.26561188997867285","1"
"0","-5.915","-153.84","38.1","112.69","0.06134969325153374","0.15950920245398773","0.13941432669719928","1"
"0","-8.018","44.37","13.7","13.12","0.0375","0.3125","0.36474080654133","0"
"0","-8.71","58.52","10.3","12.3","0.06385169927909372","0.21730175077239958","0.2881623671559113","0"
"0","-8.71","54.32","9.9","13.86","0.03076923076923077","0.26373626373626374","0.6088256193679923","0"
"0","-8.71","56.49","11.1","13.06","0.033927056827820185","0.20949957591178966","0.7491948326177863","0"
"0","-8.71","50.16","11.5","14.5","0.05060728744939271","0.22874493927125505","0.814985831656255","0"
"0","-8.71","52.09","10.7","14.5","0.02857142857142857","0.26666666666666666","0.5468665377556671","0"
"0","-8.71","61.26","9.3","12.59","0.035441278665740095","0.23071577484364142","0.4411113599041008","0"
"0","-8.71","50.57","11.3","14.74","0.060382916053019146","0.27540500736377027","0.10740704832377981","0"
"0","-7.475","55.98","11.3","12.89","0.03722943722943723","0.23636363636363636","0.7200789913935702","0"
"0","-7.475","50.36","11.4","14.68","0.037800687285223365","0.30412371134020616","0.4577527240013087","0"
"0","-7.475","59.03","10.1","13.58","0.02559576345984113","0.25419240953221534","0.551737895765399","0"
"0","-7.475","57.1","10.9","11.9","0.030206677265500796","0.1987281399046105","0.5541390726773427","0"
"0","-7.475","61.16","9.3","12.82","0.02540220152413209","0.23708721422523285","0.4752649298614703","0"
"0","-7.475","55.68","11.4","13.7","0.024514811031664963","0.24310520939734423","0.6805291648844168","0"
"0","-7.475","49.45","11.8","13.58","0.03823529411764706","0.25392156862745097","0.4980196337303952","0"
"0","-7.475","51.89","10.8","14.04","0.03940886699507389","0.30049261083743845","0.6395822967679636","0"
"0","-7.475","45.39","13.3","13.99","0.01220865704772475","0.2630410654827969","0.5135036998807727","0"
"0","-7.475","58.82","10.2","12.36","0.022106631989596878","0.23797139141742524","0.23738464722985872","0"
"0","-8.018","52.9","10.4","13.58","0.012290502793296089","0.23798882681564246","0.43042673749476856","0"
"0","-8.018","42.61","12.3","13.58","0.04738154613466334","0.2743142144638404","0.31873363080668143","0"
"0","-8.018","48.33","12.2","12.77","0.041463414634146344","0.22682926829268293","0.4939177481603774","0"
"0","-8.018","60.65","9.5","12.53","0.02109704641350211","0.2320675105485232","0.4654903607369557","0"
"0","-8.018","50.57","11.3","14.45","0.055970149253731345","0.26492537313432835","0.43502915989555696","0"
"0","-8.018","38.96","13.7","15.9","0.00983284169124877","0.25467059980334317","0.7587175951287931","0"
"0","-8.018","58.92","10.2","11.66","0.00967741935483871","0.23225806451612904","0.6300982800425033","0"
"0","-8.018","45.56","11.2","15.08","0.020134228187919462","0.2505592841163311","0.10718688178163778","0"
"0","-8.018","45.96","11.0","14.5","0.011235955056179775","0.2932584269662921","0.6835469830474605","0"
"0","-8.018","57.71","10.7","11.89","0.015209125475285171","0.2661596958174905","0.5669003351141212","0"
"0","-8.018","54.93","9.6","13.51","0.05102040816326531","0.3163265306122449","0.7110997183568354","0"
